implementation,iterations,time_ns,latency_ns
std_sync,100000,,50.2
parking_lot,100000,,38.5
thread_sentry,100000,,48.7
std_sync,100000,,51.3
parking_lot,100000,,37.9
thread_sentry,100000,,49.1
std_sync,100000,,49.8
parking_lot,100000,,39.2
thread_sentry,100000,,47.9
std_sync,100000,,50.5
parking_lot,100000,,38.1
thread_sentry,100000,,48.3
std_sync,100000,,50.9
parking_lot,100000,,38.7
thread_sentry,100000,,48.5
std_sync,100000,,51.1
parking_lot,100000,,37.8
thread_sentry,100000,,49.3
std_sync,100000,,50.0
parking_lot,100000,,38.9
thread_sentry,100000,,48.0
std_sync,100000,,50.6
parking_lot,100000,,38.3
thread_sentry,100000,,48.8
std_sync,100000,,51.4
parking_lot,100000,,38.0
thread_sentry,100000,,49.2
std_sync,100000,,50.3
parking_lot,100000,,38.6
thread_sentry,100000,,48.6
