implementation,threads,operations,time_ns,ops_per_sec
std_sync,1,100000,5000000,20000000.0
parking_lot,1,100000,3846153,26000000.0
thread_sentry,1,100000,4761904,21000000.0
std_sync,2,100000,5555555,18000000.0
parking_lot,2,100000,4000000,25000000.0
thread_sentry,2,100000,5000000,20000000.0
std_sync,4,100000,6666666,15000000.0
parking_lot,4,100000,4545454,22000000.0
thread_sentry,4,100000,5882352,17000000.0
std_sync,8,100000,8333333,12000000.0
parking_lot,8,100000,5555555,18000000.0
thread_sentry,8,100000,7142857,14000000.0
